ID,Ano,Faixa-Etária,Gênero,Como você se identifica,Estado,Região,Escolaridade,Área de Formação,Você está trabalhando?,Setor,Cargo como Gestor,Cargo Atual,Nivel,Média Salarial,Tempo de experiência na área de dados
ID3273,2023,22-24,Masculino,Branca,SP,Sudeste,Estudante de Graduação,Tecnologia,Sim,Telecomunicação,Não,Cientista de Dados,Júnior,2500,Menos 1 ano
ID3274,2023,30-34,Masculino,Preta,SP,Sudeste,Pós-graduação,Tecnologia,Sim,Varejo,Não,Analytics Engineer,Pleno,7000,1 a 2 anos
ID3275,2023,22-24,Masculino,Parda,SP,Sudeste,Pós-graduação,Ciências Sociais,Sim,Marketing,Não,Analista de Dados,Sênior,18000,1 a 2 anos
ID3276,2023,35-39,Masculino,Preta,MG,Sudeste,Pós-graduação,Tecnologia,Sim,Finanças ou Bancos,Não,Cientista de Dados,Sênior,7000,5 a 6 anos
ID3277,2023,35-39,Masculino,Parda,BA,Nordeste,Pós-graduação,Engenharia,Sim,Tecnologia,Não,Analista de Dados,Sênior,14000,5 a 6 anos
ID3278,2023,25-29,Feminino,Preta,MG,Sudeste,Pós-graduação,Estatística,Sim,Tecnologia,Não,Cientista de Dados,Pleno,7000,3 a 4 anos
ID3279,2023,40-44,Masculino,Parda,MS,Centro-oeste,Mestrado,Engenharia,Sim,Educação,Não,Engenharia,Pleno,7000,3 a 4 anos
ID3281,2023,22-24,Masculino,Preta,AL,Nordeste,Não tenho graduação,Não tenho graduação,Sim,Área de Consultoria,Não,Engenheiro de Dados,Júnior,3500,1 a 2 anos
ID3282,2023,25-29,Masculino,Branca,SP,Sudeste,Pós-graduação,Comunicação,Sim,Finanças ou Bancos,Não,Analista de Dados,Pleno,10000,1 a 2 anos
ID3283,2023,35-39,Masculino,Branca,ES,Sudeste,Graduação,Tecnologia,Sim,Outra Opção,Não,Engenheiro de Dados,Sênior,10000,5 a 6 anos
ID3284,2023,30-34,Masculino,Branca,SC,Sul,Pós-graduação,Negócios,Sim,Tecnologia,Não,Analista de Negócios,Pleno,7000,3 a 4 anos
ID3285,2023,30-34,Masculino,Parda,SP,Sudeste,Graduação,Tecnologia,Sim,Indústria,Não,Engenheiro de Dados,Sênior,10000,5 a 6 anos
ID3286,2023,30-34,Masculino,Parda,RJ,Sudeste,Pós-graduação,Tecnologia,Sim,Tecnologia,Não,Analista de Suporte,Sênior,10000,3 a 4 anos
ID3287,2023,25-29,Feminino,Branca,PR,Sul,Pós-graduação,Engenharia,Sim,Área de Consultoria,Não,Analista de Negócios,Pleno,7000,1 a 2 anos
ID3288,2023,25-29,Masculino,Branca,SP,Sudeste,Graduação,Tecnologia,Sim,Área de Consultoria,Não,Engenheiro de Dados,Sênior,10000,3 a 4 anos
ID3289,2023,25-29,Masculino,Branca,RS,Sul,Doutorado ou Phd,Negócios,Sim,Setor Alimentício,Não,Outra Opção,Júnior,5000,Menos 1 ano
ID3290,2023,25-29,Masculino,Branca,SC,Sul,Pós-graduação,Outra opção,Sim,Varejo,Não,Analista de Dados,Pleno,5000,3 a 4 anos
ID3291,2023,35-39,Masculino,Parda,PR,Sul,Pós-graduação,Negócios,Sim,Varejo,Não,Data Product Manager,Sênior,14000,1 a 2 anos
ID3292,2023,25-29,Feminino,Branca,SP,Sudeste,Pós-graduação,Engenharia,Sim,Agronegócios,Não,Analista de Inteligência de Mercado,Pleno,7000,1 a 2 anos
ID3293,2023,25-29,Masculino,Branca,SC,Sul,Graduação,Tecnologia,Sim,Tecnologia,Não,Engenheiro de Dados,Sênior,14000,1 a 2 anos
ID3294,2023,35-39,Masculino,Branca,SP,Sudeste,Mestrado,Saúde,Sim,Finanças ou Bancos,Sim,Gerente,Não Declarou,27500,7 a 10 anos
ID3295,2023,30-34,Masculino,Branca,PR,Sul,Pós-graduação,Engenharia,Sim,Indústria,Não,Cientista de Dados,Pleno,2500,1 a 2 anos
ID3296,2023,22-24,Feminino,Parda,PB,Nordeste,Graduação,Tecnologia,Sim,Marketing,Não,Analista de BI,Júnior,1500,Menos 1 ano
ID3297,2023,22-24,Masculino,Parda,PR,Sul,Estudante de Graduação,Negócios,Sim,Varejo,Não,Outra Opção,Júnior,1500,Menos 1 ano
ID3298,2023,30-34,Masculino,Branca,PR,Sul,Pós-graduação,Tecnologia,Sim,Setor Automotivo,Não,Analista de Dados,Sênior,10000,7 a 10 anos
ID3299,2023,40-44,Feminino,Preta,MG,Sudeste,Pós-graduação,Estatística,Sim,Varejo,Não,Analista de Dados,Sênior,10000,Mais 10 anos
ID3300,2023,25-29,Masculino,Branca,SC,Sul,Pós-graduação,Estatística,Sim,Telecomunicação,Não,Analista de BI,Pleno,3500,3 a 4 anos
